PartName,PartNumber,PartSpec,AvgOfSumOfAdjQty1,QtyABC,ValueABC,VendorCode
SMT TVS DIODE 5.25V 17V SOT23-6,1-75-00626-00003H,USBLC6-2SC6 ST RoHS,25030,B,B,VD066
SMT THERMAL SENSOR (19-003-0113),1-75-0LM16-00001H,SOT23 LM61BIM3 N.S RoHS,13772,B,B,VD083
SMT RES 33Kohm 1/10W,A1-64-3302A-00551H,0603 0.05% WF06W3302ATL WALSIN RoHS,12070,B,B,VR013
SMT RES 22R 3W 5% Wirewound,1-63-22R05-00001H,SMW322RJT TE Connectivity (MCS用),15528,B,B,VD044
SMT RES 22.6K 1/4W,1-64-22625-00163H,0805 0.1% AR05BTCV2262 VIKING RoHS,32862,B,B,VG085
SMT RES 0.27R 1W 1%,1-64-R2705-00941H,2512 ERJ1TRQFR27U Panasonic LF (NAIM 用),11827,B,B,VD044
SMT PPS Film 50V 680pF (18-017-0170),1-78-68144-000B1H,0805 2% ECHU1H681GX5 Panasonic RoHS (NAIM 用),18150,B,B,VM041
SMT PPS Film 16V 8.2nF (18-017-0179),1-78-82232-00111H,0805 2% ECHU1C822GX5 Panasonic (NAIM 用),23258,B,B,VD044
SMT PPS Film 16V 390pF(18-017-0178),1-78-39132-001B1H,0603 2% ECHU1C391GX5 Panasonic (NAIM 用),23258,B,B,VD044
SMT PPS Film 120pF 50V (18-017-0169),1-78-12144-000B1H,0805  2% ECHU1H121GX5 Panasonic RoHS (NAIM 用),23258,B,B,VL017
SMT PPS Film 1.8N 2% (18-017-0084),1-78-18244-0011PH,0805 50V ECHU1H182GX5 PNS RoHS (NAIM 用),18150,B,B,VM041
SMT IC VREG SOT-89-3,1-75-78L08-00002H,8V 100mA L78L08ACUTR STM,43012,B,B,VI012
SMT IC TSSOP-20 (19-003-0283),1-75-74574-00004H,"74AHC574PW,118 NXP",16122,B,B,VL070
SMT IC TSSOP16-0.65mm,A1-75-04504-00001H,CD4504BPWR TI RoHS,12830,B,B,VE213
SMT IC TSOP6,1-75-5V0U4-00001H,PRTR5V0U4D NXP RoHS,17506,B,B,VA007
SMT IC TRANS SOIC18 (MCS 專用),1-75-02803-00001H,ULN2803ADWR TI RoHS,10000,B,B,VA007
SMT IC TO-252,1-75-78005-00001H,TS78M05CP ROG TAIWAN SEMI RoHS,15311,B,B,VE080
SMT IC TinyLogic ULP-A Dual Inverter SC70,1-75-04P6X-00001H,NC7WV04P6X Fairchild RoHS (19-003-0264),32294,B,B,VE074
SMT IC Switch Current Limit 1.5A 2.1A Max SOT25,1-75-P2191-00001H,AP2191AW-7 Diodes Inc RoHS (19-003-0262),30228,B,B,VE074
SMT IC SSOT-6,1-75-C6324-00001H,FDC6324L Fairchild RoHS,12200,B,B,VD044
SMT IC SOT-70-5,1-75-74124-00002H,SN74LVC1G240DCKT TI RoHS,37750,B,B,VD044
SMT IC SOT-363,1-75-74204-00001H,"74HCT2G04GW,125 NXP RoHS",19881,B,B,VD044
SMT IC SOT23-5,1-75-02985-00001H,LP2985AIM5-3.3 RoHS,20325,B,B,VE074
SMT IC SOT-23-5,1-75-60403-00001H,TPS60403DBVT TI RoHS,15422,B,B,VA007
SMT IC SOT-23 Low,1-75-00809-00002H,MAX809TTRG ON 3.08V RoHS,22500,B,B,VD066
SMT IC SOT-223,1-75-LM340-00001H,LM340MP-5.0A NS RoHS,18726,B,B,VD101
SMT IC SOP8,1-75-09356-00004H,93C56BT 93LC56BT-I/ST Microchip RoHS,20000,B,B,VC105
SMT IC SO8,1-75-00207-00001H,MOCD217R2M FAIRCHILD RoHS,11460,B,B,VD044
SMT IC SO16,1-75-14014-00001H,TI CD4014BM RoHS,14230,B,B,VD044
SMT IC Sensor 70degC (19-003-0182),1-75-0LM26-00001H,SOT23-5 LM26CIM5-SHA NS RoHS (NAIM 用),11827,B,B,VD083
SMT IC SC-89-6,1-75-03304-00001H,UCLAMP3304A.TCT SemTech RoHS,21251,B,B,VD044
SMT IC SC70-6 (19-003-0135),1-75-07146-00001H,NC7WZ14P6X Fairchild RoHS,43348,B,B,VE074
SMT IC Reset TDFN-12 V0 HF,A1-75-6601C-IW001H,STM6601CA2BDM6F ST RoHS 愛微科專用,12070,B,B,VE074
SMT IC RESET,1-75-03809-00001H,SOT23-3 TPS3809K33DBVR TI RoHS,9700,B,B,VD044
SMT IC Regulator SOT-23-5 (19-005-0104),1-75-LP590-00001H,LP5907MFX-1.2/NOPB TI RoHS,9835,B,B,VI012
SMT IC REGULATOR,1-75-78M12-00001H,TO-252-3 L78M12ABDT-TR ST RoHS,15311,B,B,VD044
